# Timestep performance metrics.
# Results library: annual.res; (Results SemiDetached_2F)
# Output period: 00:15 on 01/01/26 to 23:45 on 31/12/26  (STS=30m, OTS=30m)
Time  Roof-2:atticExSfLWb(W)
23h30      -0.06
00h00      -0.07
00h30      -0.08
01h00      -0.09
01h30      -0.09
02h00      -0.10
02h30      -0.11
03h00      -0.13
03h30      -0.13
04h00      -0.13
04h30      -0.10
05h00      -0.10
05h30      -0.12
06h00      -0.14
06h30      -0.13
07h00      -0.15
07h30      -0.19
08h00      -0.22
08h30      -0.24
09h00      -0.25
09h30      -0.24
10h00      -0.28
10h30      -0.34
11h00      -0.28
11h30      -0.12
12h00       0.01
12h30       0.06
13h00       0.09
13h30       0.11
14h00       0.09
14h30       0.05
15h00       0.00
15h30      -0.04
16h00      -0.08
16h30      -0.07
17h00      -0.04
17h30      -0.03
18h00      -0.04
18h30      -0.06
19h00      -0.09
19h30      -0.09
20h00      -0.10
20h30      -0.09
21h00      -0.10
21h30      -0.12
22h00      -0.13
22h30      -0.11
23h00      -0.11
23h30      -0.11
00h00      -0.12
00h30      -0.13
01h00      -0.14
01h30      -0.12
02h00      -0.12
02h30      -0.12
03h00      -0.14
03h30      -0.15
04h00      -0.14
04h30      -0.11
05h00      -0.11
05h30      -0.12
06h00      -0.12
06h30      -0.10
07h00      -0.10
07h30      -0.12
08h00      -0.13
08h30      -0.14
09h00      -0.13
09h30      -0.11
10h00      -0.11
10h30      -0.10
11h00      -0.08
11h30      -0.04
12h00      -0.01
12h30       0.00
13h00       0.03
13h30       0.07
14h00       0.09
14h30       0.09
15h00       0.10
15h30       0.11
16h00       0.10
16h30       0.07
17h00       0.05
17h30       0.04
18h00       0.03
18h30       0.01
19h00      -0.01
19h30       0.00
20h00       0.01
20h30       0.00
21h00      -0.01
21h30      -0.02
22h00      -0.03
22h30      -0.04
23h00      -0.03
23h30      -0.02
00h00      -0.02
00h30      -0.02
01h00      -0.02
01h30      -0.05
02h00      -0.07
02h30      -0.06
03h00      -0.05
03h30      -0.04
04h00      -0.05
04h30      -0.06
05h00      -0.06
05h30      -0.06
06h00      -0.08
06h30      -0.10
07h00      -0.12
07h30      -0.13
08h00      -0.14
08h30      -0.16
09h00      -0.18
09h30      -0.19
10h00      -0.23
10h30      -0.28
11h00      -0.23
11h30      -0.11
12h00       0.01
