Time,direct_normal_solar
05:30:00,6.75
06:00:00,20.25
06:30:00,28.5
07:00:00,31.5
07:30:00,52.5
08:00:00,91.5
08:30:00,141
09:00:00,201
09:30:00,275
10:00:00,363
10:30:00,401
11:00:00,389
11:30:00,354.25
12:00:00,296.75
12:30:00,289.5
13:00:00,332.5
13:30:00,371.25
14:00:00,405.75
14:30:00,421
15:00:00,417
15:30:00,400.5
16:00:00,371.5
16:30:00,350.25
17:00:00,336.75
17:30:00,332.5
18:00:00,337.5
18:30:00,347.75
19:00:00,363.25
19:30:00,371.5
20:00:00,372.5
20:30:00,279.75
21:00:00,93.25
